type,POSITIVE,NEGATIVE
infj,20951,34625
intj,23682,45620
infp,84172,53702
intp,50439,52733
entj,7670,10962
enfp,22575,23084
entp,21659,28710
enfj,6729,6768
isfj,3361,3683
istj,2907,3918
istp,7450,9458
isfp,4906,4991
esfj,1388,1255
estj,1220,1052
estp,2699,2770
esfp,2052,1890


