dominant-function,POSITIVE,NEGATIVE
Ni-doms,0.35741283492688863,0.6425871650731113
Ne-doms,0.4606364810263673,0.5393635189736327
Fi-doms,0.6028111063740518,0.3971888936259483
Ti-doms,0.4820869420386409,0.5179130579613591
Fe-doms,0.502912019826518,0.49708798017348205
Te-doms,0.42527745885954843,0.5747225411404516
Si-doms,0.45194318263753697,0.548056817362463
Se-doms,0.5048347678248858,0.4951652321751142
