dominant-function,love,joy,anger,sadness,surprise,fear
Ni-doms,0.03722676521299741,0.3398355553427231,0.25803523336290074,0.21667349329996105,0.04492044207885894,0.10330851107908155
Ne-doms,0.03436597919736677,0.3438752843958611,0.29464511159589724,0.18089172865373926,0.03924175619735217,0.10698013849790186
Fi-doms,0.037486283632875504,0.3284947043424572,0.2980949914278048,0.17983445405019663,0.03503776286783979,0.12105180209312871
Ti-doms,0.030184998757897187,0.33280639173366033,0.3066629725569632,0.17767209607928058,0.039412317706931564,0.11326122210400441
Fe-doms,0.05414696505275857,0.35629124004237156,0.27687375454483476,0.1654378542120004,0.04027271287304733,0.10697747147264086
Te-doms,0.034543845656377484,0.3389742117316399,0.343076881259205,0.15623796645245408,0.033061950819059036,0.09410514226571681
Si-doms,0.050261377668739005,0.3315234765347469,0.3088016455302818,0.16189834967067807,0.04159612233075918,0.10591902764411817
Se-doms,0.03672308757049822,0.36487759587924884,0.3067298625919683,0.1449757245832508,0.04323790626878039,0.10345582143687118
